Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
128,Tauros,"Normal","Wild Bull Pokémon","1.4m (4′07″)","88.4kg (194.9lbs)","When it targets an enemy, it charges furiously while whipping its body with its long tails.","Intimidate, Anger Point, Sheer Force (hidden ability)","HP: 75; Attack: 100; Defense: 95; Sp. Atk: 40; Sp. Def: 70; Speed: 110; Total: 490","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 5, Move: Work Up, Type: Normal, Power: —, Accuracy: —; LVL: 10, Move: Payback, Type: Dark, Power: 50, Accuracy: 100; LVL: 15, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 25, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 30, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 35, Move: Raging Bull, Type: Normal, Power: 90, Accuracy: 100; LVL: 40, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 45, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 50, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 55, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 60, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 5, Move: Work Up, Type: Normal, Power: —, Accuracy: —; LVL: 10, Move: Payback, Type: Dark, Power: 50, Accuracy: 100; LVL: 15, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Horn Attack, Type: Normal, Power: 65, Accuracy: 100; LVL: 25, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 30, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 35, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 40, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 45, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 50, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 55, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 60, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90"
129,Magikarp,"Water","Fish Pokémon","0.9m (2′11″)","10.0kg (22.0lbs)","In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.","Swift Swim, Rattled (hidden ability)","HP: 20; Attack: 10; Defense: 55; Sp. Atk: 15; Sp. Def: 20; Speed: 80; Total: 200","LVL: 1, Move: Splash, Type: Normal, Power: —, Accuracy: —; LVL: 15, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 25, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Splash, Type: Normal, Power: —, Accuracy: —"
130,Gyarados,"Water, Flying","Atrocious Pokémon","6.5m (21′04″)","235.0kg (518.1lbs)","Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","Intimidate, Moxie (hidden ability)","HP: 95; Attack: 125; Defense: 79; Sp. Atk: 60; Sp. Def: 100; Speed: 81; Total: 540","LVL: 1, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Splash, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 4, Move: Whirlpool, Type: Water, Power: 35, Accuracy: 85; LVL: 8, Move: Ice Fang, Type: Ice, Power: 65, Accuracy: 95; LVL: 12, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 16, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 21, Move: Waterfall, Type: Water, Power: 80, Accuracy: 100; LVL: 24, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 28, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 32, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 36, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 40, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 44, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 48, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 52, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: ?, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 1, Move: Splash, Type: Normal, Power: —, Accuracy: —; LVL: 5, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 9, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 21, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 29, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 37, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 47, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 57, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90"
131,Lapras,"Water, Ice","Transport Pokémon","2.5m (8′02″)","220.0kg (485.0lbs)","A POKéMON that has been overhunted almost to extinction. It can ferry people across the water.","Water Absorb, Shell Armor, Hydration (hidden ability)","HP: 130; Attack: 85; Defense: 80; Sp. Atk: 85; Sp. Def: 95; Speed: 60; Total: 535","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 5, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 10, Move: Mist, Type: Ice, Power: —, Accuracy: —; LVL: 15, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 20, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 25, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 30, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 40, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 45, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 50, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 55, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 60, Move: Perish Song, Type: Normal, Power: —, Accuracy: —; LVL: 65, Move: Sheer Cold, Type: Ice, Power: —, Accuracy: 30; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 5, Move: Sing, Type: Normal, Power: —, Accuracy: 55; LVL: 10, Move: Mist, Type: Ice, Power: —, Accuracy: —; LVL: 15, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 20, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 25, Move: Confuse Ray, Type: Ghost, Power: —, Accuracy: 100; LVL: 30, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 40, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 45, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 50, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 55, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 60, Move: Perish Song, Type: Normal, Power: —, Accuracy: —; LVL: 65, Move: Sheer Cold, Type: Ice, Power: —, Accuracy: 30"
132,Ditto,"Normal","Transform Pokémon","0.3m (1′00″)","4.0kg (8.8lbs)","Capable of copying an enemy’s genetic code to instantly transform itself into a duplicate of the enemy.","Limber, Imposter (hidden ability)","HP: 48; Attack: 48; Defense: 48; Sp. Atk: 48; Sp. Def: 48; Speed: 48; Total: 288","LVL: 1, Move: Transform, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Transform, Type: Normal, Power: —, Accuracy: —"
133,Eevee,"Normal","Evolution Pokémon","0.3m (1′00″)","6.5kg (14.3lbs)","Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.","Run Away, Adaptability, Anticipation (hidden ability)","HP: 55; Attack: 55; Defense: 50; Sp. Atk: 45; Sp. Def: 65; Speed: 55; Total: 325","LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 10, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 15, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 20, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 25, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 30, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 35, Move: Baton Pass, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 45, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 50, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 55, Move: Last Resort, Type: Normal, Power: 140, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 18, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 25, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 34, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 43, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
134,Vaporeon,"Water","Bubble Jet Pokémon","1.0m (3′03″)","29.0kg (63.9lbs)","Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.","Water Absorb, Hydration (hidden ability)","HP: 130; Attack: 65; Defense: 60; Sp. Atk: 110; Sp. Def: 95; Speed: 65; Total: 525","LVL: 1, Move: Baton Pass, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 10, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 15, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 20, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 25, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 30, Move: Aurora Beam, Type: Ice, Power: 65, Accuracy: 100; LVL: 35, Move: Aqua Ring, Type: Water, Power: —, Accuracy: —; LVL: 40, Move: Muddy Water, Type: Water, Power: 90, Accuracy: 85; LVL: 45, Move: Acid Armor, Type: Poison, Power: —, Accuracy: —; LVL: 50, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 55, Move: Last Resort, Type: Normal, Power: 140, Accuracy: 100; LVL: ?, Move: Bubble, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 18, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 25, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 25, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 34, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 43, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
135,Jolteon,"Electric","Lightning Pokémon","0.8m (2′07″)","24.5kg (54.0lbs)","It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.","Volt Absorb, Quick Feet (hidden ability)","HP: 65; Attack: 65; Defense: 60; Sp. Atk: 110; Sp. Def: 95; Speed: 130; Total: 525","LVL: 1, Move: Baton Pass, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 10, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 15, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 20, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 25, Move: Double Kick, Type: Fighting, Power: 30, Accuracy: 100; LVL: 30, Move: Thunder Fang, Type: Electric, Power: 65, Accuracy: 95; LVL: 35, Move: Pin Missile, Type: Bug, Power: 25, Accuracy: 95; LVL: 40, Move: Discharge, Type: Electric, Power: 80, Accuracy: 100; LVL: 45, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 50, Move: Thunder, Type: Electric, Power: 110, Accuracy: 70; LVL: 55, Move: Last Resort, Type: Normal, Power: 140, Accuracy: 100; LVL: ?, Move: Thunder Shock, Type: Electric, Power: 40, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 18, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 25, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Thunderbolt, Type: Electric, Power: 90, Accuracy: 100; LVL: 34, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 43, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
136,Flareon,"Fire","Flame Pokémon","0.9m (2′11″)","25.0kg (55.1lbs)","When storing thermal energy in its body, its temperature could soar to over 1600 degrees.","Flash Fire, Guts (hidden ability)","HP: 65; Attack: 130; Defense: 60; Sp. Atk: 95; Sp. Def: 110; Speed: 65; Total: 525","LVL: 1, Move: Baton Pass, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Charm, Type: Fairy, Power: —, Accuracy: 100; LVL: 1, Move: Copycat, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Helping Hand, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 10, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 15, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 20, Move: Smog, Type: Poison, Power: 30, Accuracy: 70; LVL: 25, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 30, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 35, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 40, Move: Lava Plume, Type: Fire, Power: 80, Accuracy: 100; LVL: 45, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 50, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100; LVL: 55, Move: Last Resort, Type: Normal, Power: 140, Accuracy: 100; LVL: ?, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 18, Move: Baby-Doll Eyes, Type: Fairy, Power: —, Accuracy: 100; LVL: 25, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 25, Move: Mimic, Type: Normal, Power: —, Accuracy: —; LVL: 34, Move: Calm Mind, Type: Psychic, Power: —, Accuracy: —; LVL: 43, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
137,Porygon,"Normal","Virtual Pokémon","0.8m (2′07″)","36.5kg (80.5lbs)","A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.","Trace, Download, Analytic (hidden ability)","HP: 65; Attack: 60; Defense: 70; Sp. Atk: 85; Sp. Def: 75; Speed: 40; Total: 395","LVL: 1, Move: Conversion, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Recycle, Type: Normal, Power: —, Accuracy: —; LVL: 10, Move: Magnet Rise, Type: Electric, Power: —, Accuracy: —; LVL: 15, Move: Thunder Shock, Type: Electric, Power: 40, Accuracy: 100; LVL: 20, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 25, Move: Conversion 2, Type: Normal, Power: —, Accuracy: —; LVL: 30, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 35, Move: Recover, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Discharge, Type: Electric, Power: 80, Accuracy: 100; LVL: 45, Move: Tri Attack, Type: Normal, Power: 80, Accuracy: 100; LVL: 50, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 55, Move: Lock-On, Type: Normal, Power: —, Accuracy: —; LVL: 60, Move: Zap Cannon, Type: Electric, Power: 120, Accuracy: 50; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Thunder Shock, Type: Electric, Power: 40, Accuracy: 100; LVL: 9, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 15, Move: Spark, Type: Electric, Power: 65, Accuracy: 100; LVL: 21, Move: Tri Attack, Type: Normal, Power: 80, Accuracy: 100; LVL: 29, Move: Thunderbolt, Type: Electric, Power: 90, Accuracy: 100; LVL: 37, Move: Recover, Type: Normal, Power: —, Accuracy: —; LVL: 47, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90"
138,Omanyte,"Rock, Water","Spiral Pokémon","0.4m (1′04″)","7.5kg (16.5lbs)","Although long extinct, in rare cases, it can be genetically resurrected from fossils.","Swift Swim, Shell Armor, Weak Armor (hidden ability)","HP: 35; Attack: 40; Defense: 100; Sp. Atk: 90; Sp. Def: 55; Speed: 35; Total: 355","LVL: 1, Move: Bind, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 5, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 10, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 15, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 41, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Rock Blast, Type: Rock, Power: 25, Accuracy: 90; LVL: 50, Move: Surf, Type: Water, Power: 90, Accuracy: 100; LVL: 55, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 60, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 1, Move: Bind, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 5, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 10, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 15, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 41, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Rock Blast, Type: Rock, Power: 25, Accuracy: 90; LVL: 50, Move: Surf, Type: Water, Power: 90, Accuracy: 100; LVL: 55, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 60, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80"
139,Omastar,"Rock, Water","Spiral Pokémon","1.0m (3′03″)","35.0kg (77.2lbs)","A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.","Swift Swim, Shell Armor, Weak Armor (hidden ability)","HP: 70; Attack: 60; Defense: 125; Sp. Atk: 115; Sp. Def: 70; Speed: 55; Total: 495","LVL: 1, Move: Bind, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 1, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 15, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 43, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 49, Move: Rock Blast, Type: Rock, Power: 25, Accuracy: 90; LVL: 56, Move: Surf, Type: Water, Power: 90, Accuracy: 100; LVL: 63, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 70, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 1, Move: Bind, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 1, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 15, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 43, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 49, Move: Rock Blast, Type: Rock, Power: 25, Accuracy: 90; LVL: 56, Move: Surf, Type: Water, Power: 90, Accuracy: 100; LVL: 63, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 70, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80"
140,Kabuto,"Rock, Water","Shellfish Pokémon","0.5m (1′08″)","11.5kg (25.4lbs)","A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.","Swift Swim, Battle Armor, Weak Armor (hidden ability)","HP: 30; Attack: 80; Defense: 90; Sp. Atk: 55; Sp. Def: 45; Speed: 55; Total: 355","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 5, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 10, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 15, Move: Aqua Jet, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 41, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 50, Move: Liquidation, Type: Water, Power: 85, Accuracy: 100; LVL: 55, Move: Metal Sound, Type: Steel, Power: —, Accuracy: 85; LVL: 60, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 5, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 10, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 15, Move: Aqua Jet, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 41, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 50, Move: Liquidation, Type: Water, Power: 85, Accuracy: 100; LVL: 55, Move: Metal Sound, Type: Steel, Power: —, Accuracy: 85; LVL: 60, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80"
